modelName,	radius1,	radius2,	delta1,	delta2,	d1,	d2,	d3,	isCross,	                    flowrate,	P_in,	P_out,	T_wall,	T_fluid,	Nu,	friction,	tp,	rela_Nu,                    	rela_f,	rela_tp
model3277,10.645161,14.193548,6.0,12.0,35.174603,32.15873,29.746032,False,0.05025,0.8668,0.0007499,294.3,293.6,294.03029403,0.0181512805999,16198.8732647,rela_nu,rela_f,rela_tp
model3278,11.290323,16.451613,6.0,12.0,31.555556,32.15873,36.984127,True,0.05025,1.137,0.000791,294.2,293.6,343.035343035,0.0238134588047,14405.1036789,rela_nu,rela_f,rela_tp
model3279,10.322581,15.483871,6.0,10.0,31.555556,36.984127,36.984127,True,0.05025,1.092,0.0008196,294.2,293.6,343.035343035,0.0228697180746,14999.5440222,rela_nu,rela_f,rela_tp
model3280,13.225806,14.193548,6.0,10.0,33.365079,22.507937,32.15873,False,0.05025,1.708,0.001554,294.2,293.6,343.035343035,0.0357648826258,9591.40133702,rela_nu,rela_f,rela_tp
model3281,13.870968,14.83871,10.0,8.0,26.730159,33.365079,27.936508,True,0.05025,1.558,0.001348,294.2,293.6,343.035343035,0.032625395746,10514.3657323,rela_nu,rela_f,rela_tp
model3282,10.967742,14.193548,6.0,8.0,40.0,36.984127,36.984127,True,0.05025,0.9907,0.00108,294.2,293.6,343.035343035,0.0207411445449,16538.8820415,rela_nu,rela_f,rela_tp
model3283,13.548387,14.83871,10.0,8.0,36.380952,32.15873,37.587302,False,0.05025,1.168,0.001233,294.2,293.6,343.035343035,0.0244539146311,14027.8294175,rela_nu,rela_f,rela_tp
model3284,13.548387,14.83871,10.0,8.0,36.380952,32.15873,29.746032,False,0.05025,1.42,0.001458,294.2,293.6,343.035343035,0.0297307902681,11538.0499456,rela_nu,rela_f,rela_tp
model3285,14.193548,13.870968,8.0,10.0,33.968254,36.984127,36.984127,True,0.05025,1.014,0.001064,294.2,293.6,343.035343035,0.0212298174964,16158.1861499,rela_nu,rela_f,rela_tp
model3286,11.290323,16.451613,6.0,12.0,40.0,36.984127,26.730159,False,0.05025,1.21,0.001271,294.2,293.6,343.035343035,0.0253333834246,13540.8420299,rela_nu,rela_f,rela_tp
model3287,13.225806,14.193548,6.0,12.0,35.174603,36.984127,26.126984,False,0.05025,1.621,0.001489,294.2,293.6,343.035343035,0.0339428384058,10106.2656851,rela_nu,rela_f,rela_tp
model3288,12.580645,12.258065,6.0,10.0,31.555556,22.507937,26.730159,False,0.05025,1.464,0.001526,294.2,293.6,343.035343035,0.0306515476923,11191.4525974,rela_nu,rela_f,rela_tp
model3289,13.225806,14.193548,6.0,12.0,31.555556,32.15873,40.0,False,0.05025,1.214,0.0008234,294.2,293.6,343.035343035,0.0254265993201,13491.2002473,rela_nu,rela_f,rela_tp
model3290,14.83871,13.870968,6.0,10.0,35.174603,36.984127,30.952381,False,0.05025,2.736,0.001634,294.2,293.7,411.642411642,0.0573087452202,7182.8899771,rela_nu,rela_f,rela_tp
model3291,12.580645,14.193548,6.0,12.0,35.174603,36.984127,26.126984,True,0.05025,1.356,0.001381,294.2,293.6,343.035343035,0.028391047556,12082.5179965,rela_nu,rela_f,rela_tp
model3292,13.225806,14.193548,6.0,12.0,40.0,32.15873,36.984127,True,0.05025,1.18,0.0007274,294.2,293.6,343.035343035,0.0247160156974,13879.0712563,rela_nu,rela_f,rela_tp
model3293,10.967742,14.193548,6.0,10.0,33.365079,22.507937,36.984127,False,0.05025,1.079,0.001322,294.3,293.6,294.03029403,0.0225867253804,13017.8363211,rela_nu,rela_f,rela_tp
model3294,13.225806,14.193548,6.0,10.0,31.555556,32.15873,29.746032,False,0.05025,1.562,0.001275,294.2,293.6,343.035343035,0.032710760514,10486.926554,rela_nu,rela_f,rela_tp
