modelName,	radius1,	radius2,	delta1,	delta2,	d1,	d2,	d3,	isCross,	                    flowrate,	P_in,	P_out,	T_wall,	T_fluid,	Nu,	friction,	tp,	rela_Nu,                    	rela_f,	rela_tp
model904,19.9484884997,13.8442578861,15.0855788148,7.69603076622,29.586438116,23.3187427838,30.7143332896,False,0.05025,2.72,0.0007328,294.2,293.6,343.035343035,0.0569922940639,6018.97762969,rela_nu,rela_f,rela_tp
model905,10.798008104,16.8250535913,10.3900276238,10.1326085279,33.8717436449,27.7499002734,31.7605911345,True,0.05025,1.154,0.0002991,294.3,293.6,294.03029403,0.0241800662159,12160.0284882,rela_nu,rela_f,rela_tp
model906,16.2463806348,10.6165872303,12.522516689,9.91377887406,31.3436391645,18.121273679,18.384480479,False,0.05025,1.113,0.0005258,294.4,293.6,257.276507277,0.0233160083514,11034.3290069,rela_nu,rela_f,rela_tp
model907,12.3729689653,8.94718997734,4.62264572225,7.76581908976,39.7217889802,19.4827248365,37.5354611219,False,0.05025,1.326,0.0003264,294.3,293.6,294.03029403,0.0277843897223,10582.5716155,rela_nu,rela_f,rela_tp
model908,7.96188343269,8.44515789966,-0.680881632638,5.18900717617,18.1005004819,38.3949381702,27.8872613582,True,0.05025,5.15,0.0002908,294.1,293.6,411.642411642,0.10793118862,3813.9338305,rela_nu,rela_f,rela_tp
model909,16.3085064701,8.58245570472,15.5588309446,1.25353812596,10.8360311108,31.7818175339,27.8989008481,False,0.05025,1.608,0.0005429,294.3,293.6,294.03029403,0.0336902043824,8727.47136506,rela_nu,rela_f,rela_tp
model910,14.8591609449,9.35727457388,14.5749983945,5.46845275394,8.98810837829,39.338602906,24.2715253081,True,0.05025,0.6891,0.0003656,294.5,293.6,228.69022869,0.0144349747817,15842.7868527,rela_nu,rela_f,rela_tp
model911,14.8739384601,15.0145045934,6.58401009344,14.6259986222,36.0775916225,30.3053158439,28.4888618451,True,0.05025,2.13,0.0003117,294.3,293.7,343.035343035,0.0446354892443,7685.26006644,rela_nu,rela_f,rela_tp
model913,4.14655478515,5.9564537368,2.88994869918,2.57860961715,31.3406337739,16.0280932886,26.0822746812,True,0.05025,0.8826,0.0002359,294.5,293.6,228.69022869,0.0184932007633,12366.1788793,rela_nu,rela_f,rela_tp
model914,3.06519009827,18.2865123728,-0.407116209123,9.57113040891,37.9165757879,34.9506965712,38.9325146598,True,0.05025,2.695,0.0004686,294.3,293.6,294.03029403,0.0564738639562,5206.48444134,rela_nu,rela_f,rela_tp
model915,5.98343897389,12.2219437441,3.3239485956,12.2104934951,37.6789166085,20.5893460254,26.329909502,True,0.05025,0.5221,0.0002696,294.5,293.6,228.69022869,0.0109368846167,20909.9973809,rela_nu,rela_f,rela_tp
model916,14.71802244,18.3972884288,6.7372402506,12.0889393792,28.6923519418,32.3551438417,37.0447678197,True,0.05025,2.974,0.0004496,294.2,293.6,343.035343035,0.0623217383017,5504.26468169,rela_nu,rela_f,rela_tp
model917,18.4943650932,5.97130392708,11.8777973831,1.16797527352,30.689018526,21.4851135999,28.8964840747,True,0.05025,2.186,0.0004229,294.2,293.6,343.035343035,0.0458068456026,7488.73533034,rela_nu,rela_f,rela_tp
model918,7.41301276879,5.07317740118,-0.834010931261,2.16669681107,27.0974514605,12.6777804682,27.5252280726,False,0.05025,2.644,0.0006364,294.3,293.6,294.03029403,0.0554014536008,5307.26677587,rela_nu,rela_f,rela_tp
model919,11.9538408721,18.0624783264,9.7207829538,15.3711240522,30.2400467021,21.3231371414,30.7060162185,True,0.05025,0.795,0.0003549,294.4,293.6,257.276507277,0.0166547249258,15447.6587529,rela_nu,rela_f,rela_tp
model920,3.44659772319,16.4309143501,1.64821670515,10.7860528923,33.6057932229,25.9630420473,22.9357700589,True,0.05025,1.298,0.0004169,294.4,293.6,257.276507277,0.0271956494778,9460.20823981,rela_nu,rela_f,rela_tp
model921,14.8019550487,15.6896090935,12.4675826664,9.55926479618,17.2969667387,25.2342778721,37.1219680129,True,0.05025,1.474,0.0003673,294.3,293.6,294.03029403,0.0308854194912,9520.03563087,rela_nu,rela_f,rela_tp
model922,3.53932903848,5.04339128556,-0.202135212275,-3.17847715377,30.9078629605,25.4874226351,14.9665698443,True,0.05025,3.585,0.0002837,294.3,293.6,294.03029403,0.0751309784876,3913.56934182,rela_nu,rela_f,rela_tp
model923,9.30672270152,7.85497590726,2.92061201312,1.10104496177,25.0751932173,37.0772173525,33.1836182706,False,0.05025,2.148,0.0002821,294.3,293.6,294.03029403,0.0450133661463,6532.06634391,rela_nu,rela_f,rela_tp
model924,4.13464571469,12.363955282,3.87553041963,4.59185883217,7.76947931908,31.988099368,28.8901979168,True,0.05025,2.368,0.0004472,294.3,293.6,294.03029403,0.0496208189432,5925.54295339,rela_nu,rela_f,rela_tp
model925,5.07684797713,11.5786196524,1.28959591004,5.62743480232,39.0929505485,29.1044992119,26.4439292167,True,0.05025,1.427,0.000372,294.4,293.6,257.276507277,0.0299002622824,8604.48998229,rela_nu,rela_f,rela_tp
model926,5.71284684524,5.55727680079,-2.38325692934,-3.15644058345,15.2791578847,20.525991549,30.4454582405,True,0.05025,6.038,0.0007623,294.1,293.6,411.642411642,0.126532628471,3253.25109116,rela_nu,rela_f,rela_tp
model927,19.0215990203,7.28798713958,11.4034094581,6.43994107413,39.4871002418,33.7668388963,23.045384764,False,0.05025,2.424,0.0004645,294.2,293.6,343.035343035,0.050794143323,6753.44283009,rela_nu,rela_f,rela_tp
model928,18.3963758242,4.36446219991,14.9399916211,1.23237325974,32.4779177206,10.3529949562,31.9071729482,False,0.05025,1.226,0.0003101,294.4,293.6,257.276507277,0.0256888617683,10015.0995243,rela_nu,rela_f,rela_tp
model929,13.9803802847,5.59218372025,6.6908807235,2.17992604198,27.5824814735,14.3887699553,29.9674532323,False,0.05025,2.661,0.0004184,294.2,293.6,343.035343035,0.0557623204252,6151.74082462,rela_nu,rela_f,rela_tp
model930,9.46302529362,16.6469470975,7.62539032525,7.86327390313,12.5201227142,37.7548360643,21.3862132965,False,0.05025,3.711,0.0003067,294.3,293.7,343.035343035,0.0777712921094,4410.82221642,rela_nu,rela_f,rela_tp
model931,4.62729559655,6.32838741991,-0.960959789841,2.75570598645,39.6457443693,18.8233862953,15.7761965677,False,0.05025,1.702,0.0003805,294.4,293.6,257.276507277,0.0356637254805,7213.95490264,rela_nu,rela_f,rela_tp
model932,11.852999081,7.47240202104,4.57145521754,4.05052315071,36.1236140538,28.6068079251,35.5403493759,False,0.05025,1.58,0.0006552,294.3,293.6,294.03029403,0.0331010072382,8882.82014846,rela_nu,rela_f,rela_tp
model933,11.0752035591,3.09401349193,5.52294297547,-1.48959280441,27.4962418983,22.5222694285,25.0372136638,False,0.05025,1.783,0.0004218,294.3,293.6,294.03029403,0.0373605142468,7870.08155424,rela_nu,rela_f,rela_tp
